publish_date,week_of_year,month,pct_week_of_year,pol_s2_rw3,pol_s3_rw7,pol_s4_rw14,lag1_Close,lag_close_rw30,lag_close_ew,lag_close_diff,Close
2001-06-19,25,6,0.0008189559632016662,-0.012048420231236312,-0.00023495706555949034,-0.0035452404828291545,3406.0500490000004,3555.926342833332,3818.9732503083337,-4.899901999999656,3410.9499509999996
2001-06-20,25,6,0.0008189559632016662,-0.014314946728698671,-0.003465590158752569,-0.004067517934087693,3405.639893,3550.5053385999986,3815.557272148761,-0.4101560000003701,3406.0500490000004
2001-06-21,25,6,0.0008189559632016662,-0.004010972758414481,-0.00430256558533921,-0.006916845477586174,3381.76001,3544.5716715999993,3812.0015568852473,-23.879883000000067,3405.639893
2001-06-22,25,6,0.0008189559632016662,0.0033113315276954345,-0.003433336042803492,-0.007757657992135506,3318.669922,3536.2296712666657,3807.9907305853667,-63.09008799999992,3381.76001
2001-06-25,26,6,0.0018593597724310374,0.005230889880709966,-0.0041894113460945815,-0.004997931074753286,3407.320068,3530.5750081666656,3804.759515564517,88.65014599999996,3318.669922
2001-06-26,26,6,0.0018593597724310374,-0.002856268279963289,-0.0037616694214364717,-0.004512847653364135,3411.639893,3524.5610026333325,3801.614558584001,4.319825000000037,3407.320068
2001-06-27,26,6,0.0018593597724310374,-0.008596091902139466,-0.0048948620457167,-0.003060784713232583,3404.860107,3515.7310058666662,3798.46571373016,-6.779786000000057,3411.639893
2001-06-28,26,6,0.0018593597724310374,0.0003482323594983609,-0.00560824502943832,-0.0023718383342911336,3456.780029,3509.122672533333,3795.7752752677175,51.919922000000035,3404.860107
2001-06-29,26,6,0.0018593597724310374,0.0031081226931723624,0.0015511816888783875,-0.0029216010474989056,3426.030029,3501.9870035666663,3792.886640531251,-30.75,3456.780029
2001-07-02,27,7,0.0012367917586033489,0.008664369605163999,0.002572167706513743,-0.0009572042349370909,3312.290039,3491.043334933333,3789.161085480621,-113.73999000000003,3426.030029
2001-07-03,27,7,0.0012367917586033489,0.0048431079719330646,-0.00017595544504754392,-0.0008651989394127338,3311.8798829999996,3478.9546630666664,3785.4896916153853,-0.41015599999991537,3312.290039
2001-07-04,27,7,0.0012367917586033489,0.0014553183332939685,0.002207657307837373,-0.0018046457439255177,3317.6298829999996,3466.7689941333333,3781.918242694657,5.75,3311.8798829999996
2001-07-05,27,7,0.0012367917586033489,-0.00894852190138018,0.0009540656147640293,-0.0009908770191286048,3305.780029,3454.967993133333,3778.311135015152,-11.84985400000005,3317.6298829999996
2001-07-06,27,7,0.0012367917586033489,-0.014072720759325752,-0.0027869212827976407,-0.0014038019033362215,3290.810059,3440.656665033333,3774.6457133909776,-14.969970000000105,3305.780029
2001-07-09,28,7,0.00018225266874362744,-0.01052880883657666,-0.00013946934524246477,-0.0038408916642571705,3328.27002,3426.8633300999995,3771.314551500001,37.45996100000002,3290.810059
