Close,publish_date,polarity
4060.0200200000004,2001-01-03,0.0
4115.370117,2001-01-04,0.4767
4183.72998,2001-01-05,0.0
4120.430176,2001-01-08,0.0
4125.310059,2001-01-09,0.0
4047.639893,2001-01-10,0.0
4027.1298829999996,2001-01-11,0.0
4036.580078,2001-01-12,0.0
4046.76001,2001-01-15,0.0
4070.7299799999996,2001-01-16,0.0
4083.4099119999996,2001-01-17,0.0
4113.209961,2001-01-18,0.0
4194.459961,2001-01-19,0.0
4267.109863000001,2001-01-22,0.0
4296.689941,2001-01-23,0.0
4326.419922,2001-01-24,-0.4019
4330.220215,2001-01-25,0.5267
4330.220215,2001-01-26,0.0
4234.569824,2001-01-29,0.0
4372.040039,2001-01-30,0.0
4326.720215,2001-01-31,0.0
4286.109863000001,2001-02-01,0.0
4352.259765999999,2001-02-02,0.0
4370.470215,2001-02-05,0.0
4375.290039,2001-02-06,0.4588
4312.930176,2001-02-07,0.0
4381.189941,2001-02-08,0.0
4397.330078,2001-02-09,0.4767
4406.299805,2001-02-12,0.0
4363.049805,2001-02-13,0.0
4363.109863000001,2001-02-14,0.0
4437.990234000001,2001-02-15,0.2263
4330.319824,2001-02-16,0.0
4350.649902,2001-02-19,0.0
4359.220215,2001-02-20,0.0
4302.22998,2001-02-21,0.5994
4262.549805,2001-02-22,0.0
4122.160156,2001-02-23,0.0
4112.689941,2001-02-26,0.4767
4069.679932,2001-02-27,0.4588
4247.040039,2001-02-28,0.0
4271.649902,2001-03-01,0.5574
4095.1599119999996,2001-03-02,0.0
3998.1201170000004,2001-03-05,0.0
3998.1201170000004,2001-03-06,0.0
4046.889893,2001-03-07,0.0
4056.9399409999996,2001-03-08,0.0
3881.959961,2001-03-09,0.0
3767.889893,2001-03-12,0.0
3540.649902,2001-03-13,0.0
3725.030029,2001-03-14,0.0
3819.860107,2001-03-15,0.0
3745.73999,2001-03-16,0.0
3722.48999,2001-03-19,0.0
3672.399902,2001-03-20,0.0
3791.070068,2001-03-21,0.7964
3713.969971,2001-03-22,0.0
3635.280029,2001-03-23,0.0
3636.320068,2001-03-26,0.0
3694.820068,2001-03-27,0.0
3788.209961,2001-03-28,0.0
3751.5600590000004,2001-03-29,0.0
3604.3798829999996,2001-03-30,0.0
3566.26001,2001-04-02,0.0
3605.01001,2001-04-03,0.0
3565.649902,2001-04-04,0.0
3565.649902,2001-04-05,0.0
3576.0,2001-04-06,0.0
3544.080078,2001-04-09,0.0
3458.389893,2001-04-10,0.0
3325.459961,2001-04-11,0.0
3183.77002,2001-04-12,0.0
3183.77002,2001-04-13,0.0
3251.6201170000004,2001-04-16,0.0
3312.290039,2001-04-17,0.0
3438.75,2001-04-18,0.0
3574.080078,2001-04-19,0.0
3583.040039,2001-04-20,0.4215
3587.01001,2001-04-23,0.0
3589.98999,2001-04-24,0.0258
3600.830078,2001-04-25,0.0
3557.1899409999996,2001-04-26,0.0
